implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
CPU OpenMP,CSR,bone010.mtx,986703,986703,71666325,6.354828000e-02,1.054508492e-04,2.255492202,8.546572782e+00,6.445663869e-01,0.000000000e+00,0,1.655946069e-02
CPU OpenMP,CSR,webbase-1M.mtx,1000005,1000005,3105536,5.277210000e-03,2.059723040e-05,1.176961311,6.997198313e-01,4.048784915e-02,0.000000000e+00,1,5.674681387e-06
CPU OpenMP,CSR,ASIC_680ks.mtx,682712,682712,2329176,2.916090000e-03,4.714011031e-06,1.597465099,6.502585588e-01,2.830459550e-02,0.000000000e+00,1,7.347618463e-02
CPU OpenMP,CSR,ldoor.mtx,952203,952203,46522475,4.352426000e-02,8.534115303e-05,2.137772130,6.406264882e+00,4.481359618e-01,0.000000000e+00,0,2.600286104e+01
CPU OpenMP,CSR,rajat31.mtx,4690002,4690002,20316253,2.250765000e-02,6.547982514e-05,1.805275362,5.589286098e+00,2.135886243e-01,0.000000000e+00,1,7.530689240e-03
CPU OpenMP,CSR,Rucci1.mtx,1977885,109900,7791168,8.824860000e-03,2.486564699e-05,1.765731808,2.226347364e+00,1.127200518e-01,0.000000000e+00,1,2.610470986e-07
CPU OpenMP,CSR,FullChip.mtx,2987012,2987012,26621990,4.179411000e-02,1.231140849e-04,1.273958938,6.899613303e+00,2.941146102e-01,0.000000000e+00,1,6.345276252e-04
CPU OpenMP,CSR,Si41Ge41H72.mtx,185639,185639,15011265,1.799727000e-02,9.235094531e-05,1.668171339,2.299224984e+00,1.490766685e-01,0.000000000e+00,1,3.836609043e-05
CPU OpenMP,CSR,boyd2.mtx,466316,466316,1500397,2.363000000e-03,4.745524207e-06,1.269908591,1.629751185e-01,1.386232115e-02,0.000000000e+00,1,4.316622917e+03
CPU OpenMP,CSR,eu-2005.mtx,862664,862664,19235140,2.043981000e-02,6.302581931e-05,1.882125127,1.928804250e+00,2.198371775e-01,0.000000000e+00,1,4.923343658e-05
