implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
CUDA CSR-Adaptive,CSR,bone010.mtx,986703,986703,71666325,1.179678762e-03,9.976064543e-07,121.501424474,9.582246000e+00,6.555320000e-01,5.039000000e-02,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,8.606719933e-05,6.536780624e-07,72.165378309,1.044269000e+00,4.444400000e-02,2.796000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,6.278143890e-05,6.587912418e-07,74.199509942,9.585820000e-01,3.027900000e-02,2.154000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,ldoor.mtx,952203,952203,46522475,7.523430467e-04,9.306084607e-07,123.673569408,7.755866000e+00,4.565760000e-01,3.278100000e-02,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,rajat31.mtx,4690002,4690002,20316253,4.261580768e-04,8.574185121e-07,95.346089186,6.774427000e+00,2.288850000e-01,1.585800000e-02,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,1.352806382e-04,6.294887726e-07,115.185263824,3.362190000e+00,1.190610000e-01,6.302000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,5.220147055e-04,9.560008108e-07,101.997088272,8.192111000e+00,3.020530000e-01,1.956500000e-02,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2.497638391e-04,8.204146112e-07,120.203669629,3.026412000e+00,1.516540000e-01,1.055400000e-02,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,boyd2.mtx,466316,466316,1500397,4.854784116e-05,7.944413815e-07,61.811069827,4.547660000e-01,1.533100000e-02,1.480000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive,CSR,eu-2005.mtx,862664,862664,19235140,3.653632048e-04,8.191973716e-07,105.293252022,2.771863000e+00,2.265250000e-01,1.392300000e-02,1,0.000000000e+00
