implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
CUDA CSR-Adaptive (paper),CSR,bone010.mtx,986703,986703,71666325,1.215703001e-03,1.513967988e-06,117.901041520,9.129804000e+00,6.784650000e-01,4.993400000e-02,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,webbase-1M.mtx,1000005,1000005,3105536,7.723008074e-05,6.002390118e-07,80.422963962,7.069430000e-01,4.468600000e-02,3.025000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,ASIC_680ks.mtx,682712,682712,2329176,6.271999888e-05,6.036393018e-07,74.272195202,6.508200000e-01,3.150100000e-02,2.373000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,ldoor.mtx,952203,952203,46522475,7.826841587e-04,1.547707274e-06,118.879306509,6.493925000e+00,5.809610000e-01,4.024000000e-02,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,rajat31.mtx,4690002,4690002,20316253,3.835801598e-04,8.075381567e-07,105.929634152,5.782889000e+00,2.698380000e-01,1.944700000e-02,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,Rucci1.mtx,1977885,109900,7791168,1.334067173e-04,6.957164989e-07,116.803233839,2.317834000e+00,1.338530000e-01,7.528000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,FullChip.mtx,2987012,2987012,26621990,9.359974403e-03,5.606894754e-04,5.688474958,7.395176000e+00,4.067720000e-01,3.163000000e-02,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,Si41Ge41H72.mtx,185639,185639,15011265,2.576588756e-04,7.352904471e-07,116.520457259,2.490667000e+00,2.092570000e-01,1.687100000e-02,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,boyd2.mtx,466316,466316,1500397,4.062719998e-04,5.023605690e-06,7.386169861,1.703480000e-01,1.662900000e-02,2.074000000e-03,1,0.000000000e+00
CUDA CSR-Adaptive (paper),CSR,eu-2005.mtx,862664,862664,19235140,3.568742436e-04,7.312119925e-07,107.797860698,2.126117000e+00,3.026370000e-01,2.210600000e-02,1,0.000000000e+00
