implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
CUDA CSR-Partial-Overlap,CSR,bone010.mtx,986703,986703,71666325,1.334927346e-03,1.185776741e-04,107.371124340,8.475747000e+00,6.964770000e-01,5.429500000e-02,0,3.601074219e-03
CUDA CSR-Partial-Overlap,CSR,webbase-1M.mtx,1000005,1000005,3105536,2.574745604e-04,1.621157165e-06,24.123051184,7.025340000e-01,4.905000000e-02,3.112000000e-03,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,ASIC_680ks.mtx,682712,682712,2329176,1.410457596e-04,2.194421733e-06,33.027238909,6.473790000e-01,3.426100000e-02,2.509000000e-03,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,ldoor.mtx,952203,952203,46522475,1.100994594e-03,1.332734052e-06,84.509906315,6.449505000e+00,4.891240000e-01,3.515000000e-02,0,3.718750000e+00
CUDA CSR-Partial-Overlap,CSR,rajat31.mtx,4690002,4690002,20316253,5.248614430e-04,1.124731680e-06,77.415680917,5.614988000e+00,2.531190000e-01,1.646500000e-02,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,Rucci1.mtx,1977885,109900,7791168,2.145075217e-04,9.658221688e-07,72.642375789,2.233517000e+00,1.724020000e-01,7.123000000e-03,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,FullChip.mtx,2987012,2987012,26621990,8.193699851e-03,9.001927542e-04,6.498160900,6.908563000e+00,3.061080000e-01,1.929100000e-02,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4.106035182e-04,1.220067505e-06,73.118053475,2.333613000e+00,1.521750000e-01,1.100600000e-02,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,boyd2.mtx,466316,466316,1500397,3.631411216e-04,2.443287433e-06,8.263437605,1.614090000e-01,1.590800000e-02,1.384000000e-03,1,0.000000000e+00
CUDA CSR-Partial-Overlap,CSR,eu-2005.mtx,862664,862664,19235140,5.880627203e-04,4.000369487e-06,65.418668234,1.941354000e+00,2.322620000e-01,1.427000000e-02,1,0.000000000e+00
