implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
GPU cuSPARSE,CSR,bone010.mtx,986703,986703,71666325,9.987276632e-04,8.047294284e-07,143.515249739,8.624701000e+00,6.693060000e-01,5.146500000e-02,0,2.716064453e-03
GPU cuSPARSE,CSR,webbase-1M.mtx,1000005,1000005,3105536,9.036800079e-05,7.714060428e-07,68.730877586,6.948970000e-01,4.212000000e-02,2.723000000e-03,1,0.000000000e+00
GPU cuSPARSE,CSR,ASIC_680ks.mtx,682712,682712,2329176,7.537664317e-05,6.294895859e-07,61.801001004,6.440130000e-01,2.931600000e-02,2.145000000e-03,1,0.000000000e+00
GPU cuSPARSE,CSR,ldoor.mtx,952203,952203,46522475,6.696038377e-04,1.676943406e-06,138.955222114,6.385068000e+00,4.551020000e-01,3.236200000e-02,0,6.750000000e+00
GPU cuSPARSE,CSR,rajat31.mtx,4690002,4690002,20316253,4.218675163e-04,1.158345525e-06,96.315796847,5.582691000e+00,2.178280000e-01,1.968400000e-02,1,0.000000000e+00
GPU cuSPARSE,CSR,Rucci1.mtx,1977885,109900,7791168,1.820569584e-04,7.970781972e-07,85.590444545,2.225939000e+00,1.150280000e-01,6.283000000e-03,1,0.000000000e+00
GPU cuSPARSE,CSR,FullChip.mtx,2987012,2987012,26621990,4.780441627e-04,1.109711317e-06,111.378789149,6.869240000e+00,3.001500000e-01,1.995000000e-02,1,0.000000000e+00
GPU cuSPARSE,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2.371276818e-04,1.036772069e-06,126.609132132,2.298222000e+00,1.564390000e-01,1.035100000e-02,1,0.000000000e+00
GPU cuSPARSE,CSR,boyd2.mtx,466316,466316,1500397,5.316607937e-05,6.258979620e-07,56.441889931,1.612840000e-01,1.406700000e-02,1.462000000e-03,1,0.000000000e+00
GPU cuSPARSE,CSR,eu-2005.mtx,862664,862664,19235140,3.097804829e-04,7.017219261e-07,124.185615678,1.913497000e+00,2.358310000e-01,1.339300000e-02,1,0.000000000e+00
