implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
CUDA CSR-Scalar,CSR,bone010.mtx,986703,986703,71666325,1.482434576e-03,3.047762062e-05,96.687336064,8.686696000e+00,6.631810000e-01,5.013100000e-02,0,2.411842346e-03
CUDA CSR-Scalar,CSR,webbase-1M.mtx,1000005,1000005,3105536,4.993846416e-04,4.159624570e-06,12.437450979,7.050110000e-01,4.083800000e-02,3.038000000e-03,1,0.000000000e+00
CUDA CSR-Scalar,CSR,ASIC_680ks.mtx,682712,682712,2329176,9.194496132e-05,1.067075184e-06,50.664570770,6.590620000e-01,2.942100000e-02,2.081000000e-03,1,0.000000000e+00
CUDA CSR-Scalar,CSR,ldoor.mtx,952203,952203,46522475,1.022545948e-03,1.959987831e-06,90.993417146,6.543548000e+00,4.604870000e-01,3.321300000e-02,0,2.174316406e+00
CUDA CSR-Scalar,CSR,rajat31.mtx,4690002,4690002,20316253,3.390566394e-04,2.011293313e-06,119.839877122,5.784948000e+00,2.196250000e-01,1.601000000e-02,1,0.000000000e+00
CUDA CSR-Scalar,CSR,Rucci1.mtx,1977885,109900,7791168,1.186406429e-04,5.974408021e-07,131.340623396,2.189166000e+00,1.141770000e-01,6.201000000e-03,1,0.000000000e+00
CUDA CSR-Scalar,CSR,FullChip.mtx,2987012,2987012,26621990,1.993229926e-01,1.396920872e-05,0.267124125,6.858040000e+00,2.984230000e-01,1.994300000e-02,1,0.000000000e+00
CUDA CSR-Scalar,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4.525056010e-04,1.247390177e-05,66.347311349,2.327820000e+00,1.612700000e-01,1.184200000e-02,1,0.000000000e+00
CUDA CSR-Scalar,CSR,boyd2.mtx,466316,466316,1500397,6.384025593e-03,1.065013755e-03,0.470047301,1.608580000e-01,1.393400000e-02,1.777000000e-03,1,0.000000000e+00
CUDA CSR-Scalar,CSR,eu-2005.mtx,862664,862664,19235140,9.943552059e-04,1.884403572e-05,38.688669574,1.939988000e+00,2.446140000e-01,1.521300000e-02,1,0.000000000e+00
