implementation,format,matrix,rows,cols,nnz,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
CUDA CSR-Vector,CSR,bone010.mtx,986703,986703,71666325,1.361162233e-03,8.643014049e-07,105.301665362,8.384911000e+00,6.473060000e-01,4.894500000e-02,0,2.899169922e-03
CUDA CSR-Vector,CSR,webbase-1M.mtx,1000005,1000005,3105536,5.345177764e-04,6.394087543e-07,11.619954049,6.822370000e-01,3.970200000e-02,2.749000000e-03,1,0.000000000e+00
CUDA CSR-Vector,CSR,ASIC_680ks.mtx,682712,682712,2329176,3.683225632e-04,6.898955679e-07,12.647479318,6.430650000e-01,2.796400000e-02,2.070000000e-03,1,0.000000000e+00
CUDA CSR-Vector,CSR,ldoor.mtx,952203,952203,46522475,9.944678408e-04,3.998369749e-05,93.562552939,6.312888000e+00,4.501330000e-01,3.179500000e-02,0,3.580078125e+00
CUDA CSR-Vector,CSR,rajat31.mtx,4690002,4690002,20316253,3.005593634e-03,2.510074478e-04,13.518961960,5.618092000e+00,2.186160000e-01,1.545000000e-02,1,0.000000000e+00
CUDA CSR-Vector,CSR,Rucci1.mtx,1977885,109900,7791168,1.373777890e-03,6.972282530e-07,11.342689463,2.187495000e+00,1.130730000e-01,6.235000000e-03,1,0.000000000e+00
CUDA CSR-Vector,CSR,FullChip.mtx,2987012,2987012,26621990,1.008486403e-02,1.005621191e-03,5.279593247,6.807179000e+00,2.915350000e-01,1.913400000e-02,1,0.000000000e+00
CUDA CSR-Vector,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2.467020786e-04,6.424332848e-07,121.695488634,2.272463000e+00,1.496620000e-01,1.036700000e-02,1,0.000000000e+00
CUDA CSR-Vector,CSR,boyd2.mtx,466316,466316,1500397,5.948723197e-04,8.458083122e-06,5.044433739,1.590180000e-01,1.385500000e-02,1.441000000e-03,1,0.000000000e+00
CUDA CSR-Vector,CSR,eu-2005.mtx,862664,862664,19235140,7.267020702e-04,8.070194990e-07,52.938173119,1.933763000e+00,2.202230000e-01,1.345900000e-02,1,0.000000000e+00
